"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"148" 3 2 2 0.9 128 0.9908 0.290246940086819 2
"149" 7 1 2 0.1 256 0.9388 0.290103103865607 2
"150" 8 3 0.5 0.4 64 0.9911 0.289930383000619 2
"151" 8 4 0.5 0.7 512 0.994 0.289569529309885 2
"152" 8 1 2 0.1 64 0.9365 0.289260111437115 2
"153" 8 1 2 0.4 1024 0.968 0.289245419559639 2
"154" 8 3 0.0078125 0.2 512 0.9878 0.289141928952007 2
"155" 6 2 2 0.8 8 0.9907 0.289013626958077 2
"156" 8 3 0.0078125 0.2 1024 0.988 0.288958711052941 2
"157" 8 4 2 0.7 64 0.9976 0.288897110630836 2
"158" 7 3 2 0.3 16 0.9933 0.288608402623827 2
"159" 7 3 2 0.4 2 0.9915 0.288512651522789 2
"160" 7 2 2 0.7 8 0.9912 0.288317150846106 2
"161" 7 1 0.5 0.1 10000 0.9346 0.28821383813961 2
"162" 5 4 2 0.8 16 0.9939 0.287370354978489 2
"163" 7 3 2 0.4 4 0.9923 0.287102039566327 2
"164" 7 4 0.03125 0.7 10000 0.9905 0.287029276262578 2
"165" 7 2 2 0.1 32 0.9896 0.286931244505126 2
"166" 7 2 2 0.6 4 0.9907 0.286665362523942 2
"167" 7 2 2 0.8 2 0.9899 0.286365363204273 2
"168" 7 4 0.5 0.9 16 0.9912 0.285946584579203 2
"169" 8 4 0.125 0.5 256 0.9908 0.28588685776965 2
"170" 5 4 2 0.7 16 0.9941 0.285804295858685 2
"171" 8 4 0.125 0.6 128 0.9905 0.285616563642158 2
"172" 8 3 0.5 0.3 64 0.9908 0.28501304592164 2
"173" 8 4 0.00048828125 0.1 10000 0.9878 0.285001146090013 2
"174" 8 4 2 0.6 64 0.9976 0.284534433226835 2
"175" 6 3 2 0.3 256 0.9959 0.283185570207288 2
"176" 8 3 0.001953125 0.2 10000 0.988 0.283064604986276 2
"177" 7 4 0.03125 0.7 1024 0.9897 0.282899096579524 2
"178" 8 4 0.125 0.9 256 0.9906 0.282239997777773 2
"179" 8 4 0.125 0.9 8 0.9891 0.281772943964466 2
"180" 7 1 0.5 0.2 512 0.9326 0.281509433354659 2
"181" 8 2 2 0.3 8 0.9911 0.281129341892822 2
"182" 7 4 0.125 0.6 256 0.9907 0.28081240221979 2
"183" 7 4 2 0.7 8 0.9943 0.280724949076152 2
"184" 7 4 0.125 0.7 32 0.9898 0.279666965399672 2
"185" 8 4 0.125 0.8 128 0.9903 0.279472418618086 2
"186" 8 3 0.00048828125 0.2 10000 0.9877 0.279046508106591 2
"187" 5 2 0.5 0.2 10000 0.9836 0.277946908535502 2
"188" 4 4 0.5 0.5 512 0.9923 0.277893853514149 2
"189" 3 4 0.5 0.7 32 0.9908 0.277422382399681 2
"190" 7 4 2 0.8 4 0.9935 0.277394825748427 2
"191" 8 2 0.5 0.9 8 0.9881 0.276964148284042 2
"192" 7 4 0.125 0.8 128 0.9903 0.276291544313096 2
"193" 7 3 2 0.9 0.5 0.9895 0.27604703100602 2
"194" 8 4 0.0078125 0.1 1024 0.9883 0.275779111643524 2
"195" 7 4 0.125 0.7 128 0.9905 0.275463301885199 2
"196" 8 4 0.0078125 0.8 10000 0.9894 0.275357250988161 2
"197" 8 4 0.03125 0.5 10000 0.9905 0.274949857018816 2
"198" 8 3 2 0.5 4 0.9927 0.274695708536352 2
"199" 6 2 2 0.5 128 0.9935 0.274163287622377 2
"200" 7 4 2 0.4 8 0.9945 0.273444503063383 2
"201" 8 2 2 0.6 8 0.9918 0.273353750449632 2
"202" 6 2 2 0.7 8 0.9909 0.27324985254169 2
"203" 8 3 0.5 0.3 128 0.9913 0.272865069712011 2
"204" 7 2 2 0.2 32 0.9913 0.272354883836203 2
"205" 7 1 0.125 0.2 10000 0.9306 0.272117799244886 2
"206" 8 4 0.125 0.5 512 0.9911 0.271944485386495 2
"207" 8 3 0.125 0.5 512 0.9898 0.271933786898314 2
"208" 8 4 0.125 0.6 256 0.9908 0.271482522791296 2
"209" 8 3 0.5 0.5 8 0.9896 0.271128601005854 2
"210" 7 3 0.5 0.6 512 0.9924 0.271107809927385 2
"211" 8 1 0.125 0.2 10000 0.9321 0.270394412045853 2
"212" 7 4 0.125 0.7 256 0.9908 0.270342812676951 2
"213" 6 2 2 0.7 32 0.992 0.27026498685794 2
"214" 8 4 0.03125 0.7 256 0.9893 0.269852828938257 2
"215" 7 2 2 0.4 8 0.9913 0.269537978227965 2
"216" 8 2 2 0.4 8 0.9916 0.268728083651557 2
"217" 7 4 0.125 0.9 256 0.9906 0.268586606883895 2
"218" 8 2 0.5 0.8 16 0.9886 0.267718311257538 2
"219" 8 4 0.125 0.8 16 0.9895 0.266230211931783 2
"220" 8 3 2 0.3 64 0.9957 0.266082203534411 2
"221" 8 3 0.0078125 0.1 256 0.9871 0.266014527054568 2
"222" 7 3 0.5 0.5 16 0.9901 0.26600224420179 2
"223" 7 4 0.03125 0.8 1024 0.9896 0.265739251774007 2
"224" 7 4 0.125 0.7 64 0.9901 0.265648558868494 2
"225" 8 3 2 0.4 2 0.9918 0.265591422231998 2
"226" 6 1 0.5 0.2 1024 0.9322 0.265458990606966 2
"227" 7 4 0.001953125 0.1 10000 0.9883 0.265342115910433 2
"228" 7 4 0.03125 0.7 512 0.9895 0.26524282127929 2
"229" 8 4 0.03125 0.8 10000 0.9902 0.264981700500045 2
"230" 7 4 2 0.8 0.25 0.9882 0.264905205632883 2
"231" 6 4 0.5 0.8 1024 0.9929 0.264790981231446 2
"232" 3 2 2 0.3 1024 0.9921 0.264642155304628 2
"233" 8 4 0.125 0.9 32 0.9898 0.264597293414501 2
"234" 7 4 0.03125 0.8 512 0.9895 0.264305896417877 2
"235" 8 3 0.125 0.5 1024 0.9902 0.264218649296815 2
"236" 7 4 0.5 0.7 4 0.9905 0.263882001360376 2
"237" 7 4 2 0.8 8 0.9942 0.263849228532558 2
"238" 7 4 0.125 0.5 256 0.9907 0.26380235214384 2
"239" 7 3 0.5 0.4 1024 0.9929 0.263567605489327 2
"240" 8 3 0.5 0.2 512 0.9916 0.263241458195664 2
